,statefips,population_percentage,year,pop
29,33,0.004217661846431668,2026,1464811
30,34,0.027189562541505247,2026,9443044
31,35,0.006343591915871422,2026,2203155
32,36,0.05959814099451796,2026,20698673
33,37,0.03210242183156689,2026,11149300
34,38,0.002275401581454853,2026,790256
35,39,0.03521457050272876,2026,12230161
36,40,0.012282084447419859,2026,4265617
37,41,0.012916723254020832,2026,4486030
38,42,0.03844229785523771,2026,13351164
39,44,0.003220473474419058,2026,1118483
40,45,0.015702544756100535,2026,5453557
41,46,0.0027314425918269552,2026,948641
42,47,0.020764828564057303,2026,7211708
43,48,0.08939463520698565,2026,31047114
44,49,0.00931424464852193,2026,3234874
45,50,0.001862068155968288,2026,646704
46,51,0.0261155924909049,2026,9070050
47,53,0.023052327774681965,2026,8006166
48,54,0.005463076516856651,2026,1897348
49,55,0.017831982600923876,2026,6193119
50,56,0.0017936682143497545,2026,622948
0,01,0.014970436787955795,2027,5231958
1,02,0.002275529136923347,2027,795266
2,04,0.021689021640862737,2027,7580009
3,05,0.009320243112264008,2027,3257294
4,06,0.12230287192714974,2027,42743141
5,08,0.017756731587958065,2027,6205729
6,09,0.01043140565209895,2027,3645630
7,10,0.0029587464366834407,2027,1034040
8,11,0.002152642869920702,2027,752319
9,12,0.06537436282980477,2027,22847425
10,13,0.03266061127514278,2027,11414426
11,15,0.004202026231372576,2027,1468549
12,16,0.005410322260465776,2027,1890832
13,17,0.037175487433334264,2027,12992312
14,18,0.02075180783610234,2027,7252466
15,19,0.009749782795695034,2027,3407413
16,20,0.008604620010060703,2027,3007194
17,21,0.013632225514201353,2027,4764272
18,22,0.014265135608531945,2027,4985465
19,23,0.004156089479100424,2027,1452495
20,24,0.01857404325233401,2027,6491368
21,25,0.02100358554729542,2027,7340459
22,26,0.03037665340713026,2027,10616215
23,27,0.01654041970468687,2027,5780645
24,28,0.009148016376014133,2027,3197104
25,29,0.018576168057901295,2027,6492111
26,30,0.0032461960416577495,2027,1134500
27,31,0.005987000533527601,2027,2092373
28,32,0.008878474887471824,2027,3102903
29,33,0.004217661846431668,2027,1474014
30,34,0.027189562541505247,2027,9502371
31,35,0.006343591915871422,2027,2216997
32,36,0.05959814099451796,2027,20828716
33,37,0.03210242183156689,2027,11219347
34,38,0.002275401581454853,2027,795221
35,39,0.03521457050272876,2027,12306999
36,40,0.012282084447419859,2027,4292417
37,41,0.012916723254020832,2027,4514214
38,42,0.03844229785523771,2027,13435045
39,44,0.003220473474419058,2027,1125510
40,45,0.015702544756100535,2027,5487820
41,46,0.0027314425918269552,2027,954601
42,47,0.020764828564057303,2027,7257017
43,48,0.08939463520698565,2027,31242173
44,49,0.00931424464852193,2027,3255198
